individual	PH
0	73.03663366336633
1	86.59653465346534
2	103.30990099009901
3	75.55940594059406
4	79.6589108910891
5	101.41782178217821
6	136.73663366336632
7	79.6589108910891
8	74.61336633663366
9	115.92376237623762
